Fecha;NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);PM2.5(µg/m³)
2021-03-05;17;20;48;46;46
2021-03-06;6;11;44;21;43
2021-03-07;5;9;31;16;30
2021-03-14;6;11;7;20;6
2021-03-18;11;19;11;36;10
2021-03-19;7;9;10;19;9
2021-03-22;13;17;11;37;10
2021-03-23;13;18;21;38;20
2021-03-26;7;17;62;27;61
2021-03-27;4;10;34;16;33
2021-03-28;5;8;14;15;13
2021-04-02;10;15;22;30;21
2021-04-04;6;9;20;19;19
2021-04-05;8;12;23;25;22
2021-04-07;8;14;13;26;11
2021-04-08;9;16;10;30;9
2021-04-11;8;10;14;21;13
2021-04-12;6;9;7;18;6
2021-04-13;13;17;9;37;8
2021-04-17;8;12;13;24;12
2021-04-18;7;13;16;25;15
2021-04-24;6;11;17;20;16
2021-04-27;8;13;27;25;26
2021-04-28;11;16;26;32;25
2021-05-03;7;10;9;20;8
2021-05-04;18;18;18;46;17
2021-05-08;6;8;32;18;31
2021-05-25;7;10;10;20;9
2021-05-26;8;10;8;21;7
2021-05-28;14;20;15;42;14
2021-05-29;8;13;13;25;12
2021-05-30;6;9;8;19;7
2021-06-03;7;9;15;19;14
2021-06-05;6;7;;15;
2021-06-06;7;9;;18;
2021-06-12;5;9;20;16;10
2021-06-14;12;17;28;35;14
2021-06-15;13;22;29;42;13
2021-06-21;9;10;19;24;6
2021-06-26;6;8;19;17;9
2021-06-27;5;6;20;13;9
2021-06-29;7;8;22;19;9
2021-06-30;8;10;23;22;11
2021-07-05;9;10;;23;
2021-07-06;15;12;;35;
2021-07-13;3;6;19;10;6
2021-07-14;2;5;19;8;6
2021-07-18;1;2;20;3;10
2021-07-22;4;14;27;19;12
2021-07-23;3;16;32;20;14
2021-07-24;1;3;29;4;15
2021-07-25;1;1;29;2;15
2021-08-02;1;4;15;5;6
2021-08-03;2;7;20;10;8
2021-08-04;2;13;26;16;10
2021-08-05;4;11;27;16;13
2021-08-13;1;7;62;8;22
2021-08-15;1;5;63;7;26
2021-08-21;2;2;;5;
2021-08-22;1;3;;4;
2021-08-23;1;3;;5;
2021-08-28;6;12;31;21;16
2021-08-29;2;4;31;7;14
2021-09-03;8;17;33;29;17
2021-09-08;3;11;26;16;11
2021-09-09;6;13;31;21;14
2021-09-10;6;16;28;24;12
2021-09-11;2;5;23;7;12
2021-09-16;7;14;14;24;5
2021-09-17;6;17;31;26;12
2021-09-22;2;6;15;8;6
2021-09-23;2;7;22;9;9
2021-09-26;2;10;21;12;11
2021-09-29;6;11;32;19;17
2021-09-30;4;10;23;15;9
2021-10-02;2;9;37;11;26
2021-10-05;6;18;19;27;6
2021-10-15;6;20;29;29;14
2021-10-16;3;10;30;14;14
2021-10-20;10;18;32;33;18
2021-10-24;2;11;19;13;9
2021-10-25;5;16;27;23;13
2021-10-28;9;27;38;40;24
2021-10-29;16;30;37;54;19
2021-10-30;3;14;16;18;9
2021-10-31;1;2;7;3;3
2021-11-01;2;4;7;6;3
2021-11-04;8;18;19;31;7
2021-11-09;7;23;30;34;10
2021-11-10;7;28;32;38;13
2021-11-12;15;34;34;56;14
2021-11-14;2;15;20;17;11
2021-11-20;2;16;;18;
2021-11-21;3;15;;19;
2021-11-22;10;14;;29;
2021-11-25;5;12;;19;
2021-12-07;8;17;;29;
2021-12-12;11;33;;50;
2021-12-13;23;40;;75;
2021-12-17;13;28;;48;
2021-12-18;4;24;29;29;20
2021-12-21;18;34;41;61;20
2021-12-24;29;38;28;81;17
2021-12-27;7;14;12;24;5
2021-12-29;17;31;20;57;9
2021-12-30;26;44;26;85;14
2022-01-02;20;37;40;68;32
2022-01-07;15;26;16;50;8
2022-01-10;8;21;17;32;5
2022-01-17;24;48;31;85;18
2022-01-19;22;47;38;80;20
2022-01-21;24;34;28;71;13
2022-01-25;5;23;20;30;10
2022-01-27;33;52;36;102;17
2022-01-29;15;44;29;67;16
2022-01-31;21;45;32;78;11
2022-02-01;23;43;29;77;11
2022-02-02;28;55;34;98;16
2022-02-03;41;56;43;118;23
2022-02-06;6;23;27;32;18
2022-02-09;10;31;32;47;17
2022-02-12;7;32;37;43;23
2022-02-13;9;31;38;46;23
2022-02-16;10;27;18;42;6
2022-02-17;10;34;21;50;10
2022-02-18;24;42;37;78;18
2022-02-22;35;44;31;98;12
2022-02-24;13;32;30;52;14
2022-02-25;4;27;28;33;14
2022-02-27;7;19;;29;
2022-03-03;12;25;31;43;18
2022-03-07;4;22;;28;
2022-03-10;10;23;26;37;14
2022-03-14;3;13;35;18;18
2022-03-16;3;9;;13;
2022-03-17;2;10;26;13;16
2022-03-26;1;7;20;9;14
2022-03-30;6;20;62;29;26
2022-03-31;4;16;20;23;9
2022-04-04;2;10;20;12;9
2022-04-06;6;17;14;26;7
2022-04-08;4;14;17;20;6
2022-04-10;1;10;24;12;13
2022-04-11;2;12;28;15;14
2022-04-13;3;13;19;17;12
2022-04-18;2;10;26;13;16
2022-04-20;3;18;14;23;8
2022-04-21;5;20;15;27;5
2022-04-22;8;25;22;36;10
2022-04-24;2;9;8;11;4
2022-04-25;2;12;16;14;8
2022-04-26;7;17;17;27;8
2022-04-29;4;18;30;24;13
2022-05-02;3;14;32;18;18
2022-05-04;2;15;27;18;15
2022-05-05;4;16;34;21;13
2022-05-06;8;25;31;37;13
2022-05-08;3;12;;16;
2022-05-10;6;21;32;30;13
2022-05-11;7;22;41;33;17
2022-05-21;3;22;30;26;14
2022-05-28;2;18;29;21;12
2022-05-31;2;12;28;14;15
2022-06-02;3;11;33;15;20
2022-06-05;2;11;24;13;11
2022-06-07;3;13;26;16;14
2022-06-09;4;14;25;20;11
2022-06-11;3;13;24;17;11
2022-06-17;5;23;38;31;13
2022-06-18;2;14;35;17;14
2022-06-20;3;12;40;15;19
2022-06-25;1;9;20;11;9
2022-06-27;2;9;25;12;10
2022-06-28;4;12;20;18;8
2022-07-03;2;11;20;13;9
2022-07-06;2;10;31;12;13
2022-07-08;3;18;28;22;12
2022-07-14;4;15;23;21;10
2022-07-17;2;13;23;16;12
2022-07-20;2;10;21;12;11
2022-07-22;3;14;27;19;14
2022-07-24;2;9;27;12;16
2022-07-29;2;9;29;13;13
2022-07-30;1;7;;9;
2022-08-02;4;14;34;19;13
2022-08-06;2;11;19;14;9
2022-08-11;3;15;24;18;11
2022-08-12;3;15;33;20;13
2022-08-14;2;12;44;15;16
2022-08-16;3;10;40;15;20
2022-08-17;3;12;48;16;28
2022-08-24;2;8;18;11;8
2022-08-27;2;11;16;13;7
2022-08-28;1;8;16;10;9
2022-08-30;3;11;30;15;14
2022-09-02;6;18;33;28;13
2022-09-03;3;14;31;19;14
2022-09-05;4;11;26;17;11
2022-09-08;6;15;27;25;9
2022-09-11;2;7;17;9;8
2022-09-15;4;14;23;19;7
2022-09-16;3;12;18;17;7
2022-09-17;2;9;20;11;9
2022-09-19;3;23;18;27;9
2022-09-20;6;31;21;40;10
2022-09-23;6;35;23;43;12
2022-09-28;8;36;19;48;6
2022-10-02;3;24;27;29;10
2022-10-05;7;27;22;37;8
2022-10-06;2;19;22;22;8
2022-10-11;2;25;18;28;10
2022-10-16;7;31;29;41;15
2022-10-17;11;33;36;50;16
2022-10-22;5;32;30;39;13
2022-10-23;3;25;47;29;22
2022-10-26;22;48;61;82;28
2022-10-30;2;22;35;25;19
2022-11-02;9;27;32;40;15
2022-11-06;7;32;20;42;8
2022-11-09;13;39;19;59;7
2022-11-18;8;31;12;43;5
2022-11-25;6;24;13;32;6
2022-12-02;2;21;16;24;9
2022-12-03;8;34;19;46;12
2022-12-07;17;40;37;67;26
2022-12-08;10;37;37;52;29
2022-12-10;7;26;11;37;5
2022-12-16;7;34;15;45;7
2022-12-17;11;38;21;55;13
2022-12-22;9;33;17;45;6
2022-12-24;9;36;16;50;10
2022-12-26;29;55;37;98;17
2022-12-28;27;50;39;91;22
2022-12-31;12;43;30;61;16
2023-01-02;16;42;37;66;21
2023-01-03;22;47;40;81;27
2023-01-05;23;43;31;78;20
2023-01-10;12;44;18;63;8
2023-01-11;14;44;20;66;9
2023-01-15;4;17;14;23;6
2023-01-16;5;17;18;24;4
2023-01-18;5;25;8;32;3
2023-01-22;5;15;8;22;4
2023-01-23;23;45;;79;
2023-01-24;6;30;;39;
2023-01-26;24;50;22;87;11
2023-01-31;27;55;30;95;16
2023-02-01;22;56;32;89;19
2023-02-03;18;56;35;83;19
2023-02-05;7;41;24;52;14
2023-02-06;4;28;19;33;10
2023-02-10;23;51;25;85;15
2023-02-11;4;36;21;42;14
2023-02-12;4;35;22;41;16
2023-02-13;13;47;27;67;17
2023-02-24;23;47;17;81;7
2023-03-08;5;21;14;29;6
2023-03-14;7;33;;44;
2023-03-20;12;40;39;58;15
2023-03-21;11;35;;52;
2023-03-23;12;41;39;59;24
2023-03-29;12;31;24;50;11
2023-04-03;11;31;45;47;8
2023-04-04;7;30;20;41;7
2023-04-05;4;31;22;37;9
2023-04-13;3;23;20;27;6
2023-04-14;4;26;19;32;5
2023-04-15;2;15;18;18;6
2023-04-18;2;20;17;23;8
2023-04-22;2;22;31;24;18
2023-04-25;12;37;27;54;11
2023-05-03;6;32;24;40;9
2023-05-08;6;30;24;38;12
2023-05-09;9;35;29;49;12
2023-05-12;6;22;15;30;5
2023-05-14;5;15;;22;
2023-06-01;4;18;28;24;17
2023-06-03;4;19;19;25;12
2023-06-08;7;27;22;38;11
2023-06-09;7;22;17;33;8
2023-06-12;7;24;25;34;11
2023-06-17;3;22;25;27;13
2023-06-19;9;29;30;42;15
2023-06-23;5;26;17;33;8
2023-06-24;5;22;20;29;10
2023-06-26;4;18;20;23;10
2023-06-28;4;20;22;26;12
2023-06-30;5;22;19;29;9
2023-07-04;6;20;;30;
2023-07-05;4;15;;22;
2023-07-07;4;18;18;25;9
2023-07-08;4;17;23;24;12
2023-07-10;4;16;39;22;16
2023-07-11;7;26;54;36;22
2023-07-12;4;16;50;22;22
2023-07-14;5;18;29;26;13
2023-07-17;4;13;28;18;13
2023-07-20;4;19;38;24;19
2023-07-23;3;15;37;20;16
2023-07-28;5;17;29;25;15
2023-07-29;5;16;22;23;10
2023-08-03;3;14;29;19;11
2023-08-05;5;18;19;25;6
2023-08-08;4;16;24;22;10
2023-08-14;3;12;19;17;9
2023-08-18;6;23;30;32;17
2023-08-21;6;32;34;41;15
2023-08-26;3;17;36;22;19
2023-09-01;6;20;19;28;8
2023-09-09;4;18;17;24;9
2023-09-14;4;17;17;22;8
2023-09-19;8;25;21;38;9
2023-09-20;8;32;15;44;5
2023-09-21;5;21;14;29;5
2023-09-24;4;17;13;23;6
2023-09-26;7;23;17;34;7
2023-10-03;7;24;25;34;14
2023-10-04;7;31;24;41;14
2023-10-08;5;20;33;27;18
2023-10-12;3;19;23;24;14
2023-10-15;4;17;23;23;13
2023-10-16;12;29;25;47;12
2023-10-19;6;25;21;35;6
2023-10-22;4;16;13;21;6
2023-10-29;4;20;12;27;6
2023-10-30;8;26;13;38;4
2023-11-02;4;10;24;16;4
2023-11-04;3;7;9;13;3
2023-11-07;10;27;12;43;5
2023-11-11;4;12;11;19;4
2023-11-13;18;35;17;62;5
2023-11-16;29;52;34;97;16
2023-11-19;6;29;27;38;19
2023-11-20;17;45;38;72;27
2023-11-21;9;24;22;37;9
2023-11-24;15;46;30;69;10
2023-11-25;8;33;32;46;14
2023-11-27;19;33;41;62;15
2023-12-01;12;27;25;45;7
2023-12-05;19;43;18;72;7
2023-12-07;19;36;17;65;10
2023-12-08;4;14;9;20;4
2023-12-13;13;35;17;56;5
2023-12-14;8;26;14;37;4
2023-12-18;30;53;29;99;14
2023-12-22;34;56;23;109;9
2023-12-28;36;57;40;111;24
2023-12-30;19;52;44;81;33
2024-01-03;7;21;15;31;5
2024-01-05;7;20;12;31;5
2024-01-06;5;12;8;20;3
2024-01-09;14;37;19;59;8
2024-01-10;15;39;20;62;11
2024-01-15;7;21;18;32;6
2024-01-18;5;18;9;26;3
2024-01-19;4;20;8;26;4
2024-01-21;5;23;18;32;12
2024-01-26;35;54;39;108;24
2024-01-27;12;47;37;65;29
2024-01-29;11;29;31;46;18
2024-02-02;27;42;37;83;20
2024-02-04;8;38;26;49;17
2024-02-05;30;50;38;95;22
2024-02-09;10;35;21;51;10
2024-02-10;5;11;5;18;2
2024-02-12;19;30;9;59;3
2024-02-18;6;27;14;35;8
2024-02-21;14;43;28;64;15
2024-02-27;8;16;10;29;3
2024-03-01;7;19;15;30;6
2024-03-09;7;24;;34;
2024-03-10;6;14;;22;
2024-03-15;13;43;46;63;22
2024-03-18;10;31;57;47;42
2024-03-21;4;19;26;26;14
2024-03-26;6;18;10;27;4
2024-03-31;5;12;5;19;2
2024-04-06;3;17;26;22;16
2024-04-08;5;21;31;29;13
2024-04-10;6;25;19;33;6
2024-04-14;4;20;25;26;10
2024-04-15;15;39;35;61;15
2024-04-17;6;23;21;33;8
2024-04-26;4;18;22;24;12
2024-04-28;4;13;12;19;5
2024-04-29;4;23;14;30;7
2024-04-30;9;25;15;38;6
2024-05-02;6;20;8;29;3
2024-05-03;8;26;20;38;6
2024-05-13;6;22;15;31;7
