Fecha;NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);PM2.5(µg/m³)
2019-09-17;23;45;;80;
2019-09-19;19;35;39;65;21
2019-09-26;20;29;25;60;15
2019-09-28;12;26;24;44;15
2019-10-01;21;42;42;74;25
2019-10-02;22;37;28;71;9
2019-10-04;21;41;31;74;12
2019-10-07;28;35;31;78;15
2019-10-09;7;18;29;29;16
2019-10-11;15;27;20;50;12
2019-10-12;8;21;19;34;12
2019-10-13;9;21;23;34;15
2019-10-17;24;42;27;78;10
2019-10-21;21;28;16;60;10
2019-10-22;21;30;9;62;6
2019-10-23;15;24;8;47;4
2019-10-28;39;50;43;110;31
2019-10-31;41;51;25;114;12
2019-11-01;45;36;15;104;7
2019-11-02;12;15;16;34;7
2019-11-03;8;12;14;25;4
2019-11-04;14;20;13;42;4
2019-11-05;16;24;12;48;4
2019-11-06;25;33;16;71;6
2019-11-08;20;28;15;58;5
2019-11-10;7;10;8;21;3
2019-11-13;32;42;17;91;9
2019-11-14;16;28;9;53;5
2019-11-29;24;33;14;70;7
2019-12-08;16;22;16;47;12
2019-12-18;24;30;19;67;9
2019-12-23;17;28;11;54;7
2019-12-25;14;21;15;41;11
2019-12-28;20;29;35;59;29
2019-12-29;5;18;37;26;33
2019-12-31;19;28;37;58;32
2020-01-01;12;22;37;41;33
2020-01-02;34;33;39;85;32
2020-01-07;45;35;37;104;28
2020-01-08;55;37;42;121;31
2020-01-10;33;31;39;81;24
2020-01-13;54;39;41;122;27
2020-01-17;22;29;30;63;16
2020-01-20;8;8;4;19;3
2020-01-21;19;24;44;53;31
2020-01-22;8;16;38;28;25
2020-01-23;;;63;;33
2020-01-27;;;17;;10
2020-02-07;48;56;36;130;25
2020-02-12;36;39;34;93;25
2020-02-16;11;25;49;42;46
2020-02-17;37;40;61;97;54
2020-02-18;19;36;24;65;20
2020-02-20;38;40;26;98;20
2020-02-21;41;43;37;106;30
2020-02-29;9;20;55;34;23
2020-03-01;7;10;20;20;11
2020-03-06;16;23;13;47;6
2020-03-10;26;48;24;88;14
2020-03-12;31;52;33;99;29
2020-03-15;8;12;13;24;11
2020-03-16;17;27;6;53;5
2020-03-17;19;25;19;55;18
2020-03-20;9;16;17;29;15
2020-03-24;7;8;16;19;13
2020-03-31;10;13;4;28;4
2020-04-03;7;18;11;28;9
2020-04-11;6;15;19;24;18
2020-04-14;7;14;10;24;9
2020-04-16;9;18;19;32;17
2020-04-17;8;23;18;35;16
2020-04-18;7;16;17;26;16
2020-04-19;6;13;5;22;5
2020-04-23;7;22;9;32;8
2020-04-24;10;24;12;39;10
2020-04-25;6;15;10;24;9
2020-04-27;14;18;8;38;7
2020-05-03;7;13;3;24;2
2020-05-04;13;18;5;37;3
2020-05-09;5;7;2;15;1
2020-05-11;6;9;7;17;4
2020-05-17;5;6;11;14;8
2020-05-18;7;16;18;27;11
2020-05-19;8;26;23;39;14
2020-05-21;8;23;18;35;11
2020-05-23;5;13;;21;
2020-05-26;7;15;4;25;2
2020-05-28;5;13;3;21;1
2020-06-01;8;19;11;31;5
2020-06-14;6;15;13;24;7
2020-06-15;8;24;18;37;9
2020-06-17;8;22;12;35;7
2020-06-20;7;16;12;27;9
2020-06-21;5;14;12;22;9
2020-06-28;6;15;17;24;12
2020-06-30;8;21;23;34;12
2020-07-02;11;28;26;44;14
2020-07-08;13;34;28;55;11
2020-07-15;11;38;26;55;11
2020-07-16;9;33;24;46;9
2020-07-17;9;28;25;43;10
2020-07-20;9;24;28;37;11
2020-07-23;14;45;23;66;8
2020-07-24;9;30;24;45;9
2020-07-27;10;35;28;51;11
2020-08-03;8;20;13;31;6
2020-08-05;9;24;11;38;7
2020-08-07;11;38;7;55;4
2020-08-08;8;31;9;43;4
2020-08-14;6;20;9;30;8
2020-08-16;8;25;5;37;5
2020-08-19;10;36;5;51;4
2020-08-20;10;27;4;42;3
2020-08-22;7;21;7;31;6
2020-08-25;12;25;5;44;4
2020-08-27;10;30;5;46;4
2020-08-29;9;21;4;34;4
2020-08-31;13;33;2;54;2
2020-09-01;12;38;3;55;2
2020-09-02;10;31;3;46;2
2020-09-07;9;24;3;38;3
2020-09-08;12;35;3;53;3
2020-09-09;10;34;5;50;4
2020-09-11;12;37;6;56;5
2020-09-15;10;38;9;53;8
2020-09-16;11;31;13;49;12
2020-09-19;12;22;3;40;2
2020-09-26;11;15;2;31;2
2020-09-27;6;14;3;22;2
2020-09-28;15;35;3;58;3
2020-10-05;12;35;2;54;2
2020-10-08;20;45;4;74;4
2020-10-09;8;22;4;34;4
2020-10-12;7;20;2;29;2
2020-10-13;22;44;3;77;2
2020-10-14;18;56;4;84;4
2020-10-16;16;46;5;71;5
2020-10-17;7;29;6;40;5
2020-10-20;20;43;6;73;5
2020-10-22;26;72;9;111;9
2020-11-08;17;46;4;73;4
2020-11-14;23;52;15;87;14
2020-11-16;22;41;3;75;3
2020-11-17;22;41;5;75;5
2020-11-21;11;40;5;56;5
2020-11-24;;;9;;9
2020-11-26;;;5;;5
2020-11-28;;;4;;4
2020-12-01;;;7;;6
2020-12-03;25;56;4;94;4
2020-12-10;16;35;2;59;2
2020-12-11;10;22;1;37;1
2020-12-13;7;21;4;31;4
2020-12-14;65;34;9;133;9
2020-12-18;46;35;9;105;9
2020-12-19;17;26;8;52;8
2020-12-20;11;24;5;41;4
2020-12-22;38;30;9;87;9
2020-12-28;14;21;2;42;2
2020-12-31;15;15;6;39;5
2021-01-01;5;8;2;16;2
2021-01-03;8;10;3;22;2
2021-01-04;15;14;5;36;5
2021-01-05;37;21;9;77;8
2021-01-08;7;14;5;24;4
2021-01-09;11;15;4;32;3
2021-01-16;21;23;5;56;5
2021-01-18;29;26;6;70;5
2021-01-22;5;7;1;15;1
2021-01-24;5;5;1;12;1
2021-01-26;26;22;4;63;4
2021-01-28;20;18;3;49;3
2021-02-01;8;8;2;20;1
2021-02-02;12;14;2;31;2
2021-02-04;19;19;10;49;9
2021-02-17;10;19;38;35;37
2021-02-22;10;13;6;28;5
2021-02-25;20;26;31;56;30
2021-02-26;12;21;33;39;32
2021-03-01;5;11;25;19;24
2021-03-02;6;14;35;22;34
2021-03-04;8;15;49;28;48
2021-03-08;10;14;17;28;16
2021-03-10;13;18;26;37;25
2021-03-15;11;20;10;37;9
2021-03-21;6;9;12;18;11
2021-03-29;14;14;13;35;12
2021-03-30;14;17;22;39;21
2021-03-31;21;21;35;54;34
2021-04-01;17;20;24;46;23
2021-04-03;11;21;24;37;23
2021-04-10;8;16;15;27;14
2021-04-14;6;15;6;24;5
2021-04-15;6;13;11;23;10
2021-04-20;10;15;23;30;22
2021-04-22;6;11;13;20;12
2021-04-23;8;11;15;23;14
2021-04-26;6;13;17;23;16
2021-04-29;17;18;17;44;16
2021-04-30;10;16;19;31;18
2021-05-01;6;10;13;19;12
2021-05-05;13;16;15;35;14
2021-05-06;16;18;20;43;19
2021-05-09;6;9;36;18;35
2021-05-13;13;14;7;34;5
2021-05-14;10;12;7;28;5
2021-05-21;10;12;11;26;10
2021-05-22;5;6;16;14;15
2021-05-24;10;11;8;27;7
2021-05-31;10;13;9;29;8
2021-06-01;7;13;14;24;13
2021-06-07;14;13;;35;
2021-06-08;5;9;29;17;17
2021-06-10;8;10;18;22;9
2021-06-13;6;13;25;22;15
2021-06-17;9;16;25;29;12
2021-06-19;5;7;32;15;15
2021-06-20;8;9;20;21;9
2021-06-22;9;11;19;25;6
2021-06-23;6;7;14;16;6
2021-06-24;6;7;14;16;5
2021-06-25;11;12;18;29;6
2021-07-01;11;8;21;24;9
2021-07-02;8;9;;22;
2021-07-09;2;6;20;8;9
2021-07-11;1;4;17;5;7
2021-07-12;9;12;40;26;11
2021-07-15;2;8;21;10;8
2021-07-16;4;10;23;15;10
2021-07-20;2;10;24;12;11
2021-07-26;1;5;22;6;9
2021-07-30;3;9;32;13;17
2021-08-01;1;1;11;3;5
2021-08-09;1;4;24;5;9
2021-08-10;4;17;;21;
2021-08-11;1;10;;11;
2021-08-14;3;16;71;20;26
2021-08-16;1;5;47;7;19
2021-08-17;1;6;29;7;11
2021-08-18;2;4;32;6;12
2021-08-19;1;4;25;6;12
2021-08-20;2;7;;10;
2021-08-26;6;13;24;22;11
2021-08-27;6;24;36;33;16
2021-08-30;3;10;20;15;9
2021-08-31;5;11;22;19;10
2021-09-01;5;12;23;19;10
2021-09-02;4;12;21;17;9
2021-09-04;2;6;43;8;26
2021-09-05;6;9;39;17;26
2021-09-06;8;17;;29;
2021-09-12;2;3;22;5;11
2021-09-18;2;11;32;14;14
2021-09-19;2;7;16;9;7
2021-09-21;4;6;11;11;4
2021-09-24;1;11;29;12;13
2021-09-28;7;17;32;26;18
2021-10-01;3;13;29;17;18
2021-10-03;1;4;22;6;13
2021-10-04;3;16;14;20;5
2021-10-06;10;14;20;28;8
2021-10-08;3;13;24;17;10
2021-10-09;3;6;21;10;9
2021-10-10;1;2;20;3;9
2021-10-12;3;8;22;11;12
2021-10-13;4;15;27;20;12
2021-10-18;6;16;29;24;16
2021-10-21;20;23;40;53;16
2021-10-26;9;17;31;30;14
2021-10-27;6;19;32;27;18
2021-11-13;5;21;29;29;16
2021-11-16;12;31;29;49;11
2021-11-17;6;25;28;33;11
2021-11-18;6;19;26;27;12
2021-11-19;1;10;21;12;11
2021-11-23;7;20;;30;
2021-11-24;5;17;;25;
2021-11-26;8;20;;33;
2021-11-30;29;42;;86;
2021-12-01;15;30;;53;
2021-12-02;13;18;14;37;4
2021-12-03;18;36;22;63;8
2021-12-05;4;10;;15;
2021-12-06;6;12;;21;
2021-12-09;6;13;;23;
2021-12-15;23;43;;79;
2021-12-22;15;36;50;58;33
2021-12-26;6;12;8;21;4
2021-12-31;39;47;41;107;26
2022-01-01;15;29;44;51;36
2022-01-03;33;44;53;95;41
2022-01-09;6;11;13;20;5
2022-01-11;10;35;22;50;10
2022-01-12;10;27;18;42;8
2022-01-13;18;29;21;56;11
2022-01-16;9;26;20;39;13
2022-01-18;29;49;37;93;22
2022-01-20;35;50;38;104;23
2022-01-23;5;19;21;27;16
2022-01-24;5;25;20;33;13
2022-01-26;23;41;29;77;15
2022-01-30;16;45;31;68;19
2022-02-04;23;44;55;79;37
2022-02-05;17;48;52;74;33
2022-02-14;10;24;25;40;9
2022-02-19;4;16;34;21;15
2022-02-26;9;27;27;41;13
2022-03-05;5;19;23;26;11
2022-03-08;17;30;;56;
2022-03-09;12;25;28;43;15
2022-03-12;4;17;20;23;12
2022-03-13;6;20;29;29;16
2022-03-15;5;11;64;18;32
2022-03-18;5;13;41;20;24
2022-03-19;6;16;74;25;56
2022-03-20;6;14;42;24;23
2022-03-22;2;9;28;12;14
2022-03-23;2;9;24;11;12
2022-03-24;1;11;11;13;8
2022-03-25;1;11;29;12;18
2022-03-29;7;21;66;32;28
2022-04-02;2;9;11;12;5
2022-04-05;2;12;20;14;9
2022-04-07;3;12;16;17;7
2022-04-09;2;9;14;12;6
2022-04-14;2;11;24;13;11
2022-04-19;2;10;23;12;14
2022-04-27;7;31;37;43;17
2022-04-30;3;21;32;25;17
2022-05-01;1;12;32;14;18
2022-05-03;2;16;11;19;8
2022-05-07;3;15;21;19;10
2022-05-09;4;18;;24;
2022-05-15;3;12;28;16;14
2022-05-18;5;15;42;22;22
2022-05-23;5;17;32;24;12
2022-05-25;3;13;13;17;4
2022-05-29;2;11;25;14;10
2022-06-01;2;11;32;14;18
2022-06-03;2;9;30;12;16
2022-06-04;3;13;32;17;17
2022-06-06;4;12;24;18;11
2022-06-08;3;15;35;20;20
2022-06-10;3;12;25;16;12
2022-06-13;4;17;24;24;8
2022-06-15;3;16;28;20;10
2022-06-19;1;7;32;8;15
2022-06-29;3;12;26;17;12
2022-07-01;2;8;24;11;10
2022-07-09;2;12;19;14;9
2022-07-11;3;17;26;21;10
2022-07-12;3;20;23;24;9
2022-07-13;5;21;31;28;12
2022-07-16;3;17;28;22;13
2022-07-19;4;17;31;23;16
2022-07-25;3;14;33;18;17
2022-07-27;2;10;30;13;14
2022-07-28;4;12;39;18;16
2022-08-01;2;11;;14;
2022-08-03;2;13;36;16;12
2022-08-09;2;10;25;13;11
2022-08-18;3;14;38;18;25
2022-08-22;2;10;18;13;8
2022-08-23;2;11;19;14;8
2022-08-25;2;9;20;12;8
2022-08-31;5;14;56;21;20
2022-09-01;3;11;42;15;17
2022-09-07;8;22;32;33;10
2022-09-10;2;10;18;13;7
2022-09-12;3;11;22;16;9
2022-09-13;5;17;31;24;13
2022-09-21;6;34;20;42;9
2022-09-22;2;24;19;27;10
2022-09-24;2;22;22;25;11
2022-09-26;6;27;15;35;6
2022-09-27;6;33;16;41;6
2022-10-07;5;30;22;37;10
2022-10-08;5;24;26;31;12
2022-10-09;5;20;;28;
2022-10-12;2;17;21;20;11
2022-10-13;9;32;26;45;13
2022-10-15;7;42;27;53;15
2022-10-20;5;33;66;42;28
2022-10-21;8;31;34;43;14
2022-10-25;12;47;44;66;19
2022-11-01;4;24;36;30;18
2022-11-05;7;36;18;46;7
2022-11-07;8;42;24;54;10
2022-11-10;7;28;17;39;6
2022-11-13;5;25;22;32;12
2022-11-16;5;21;8;29;3
2022-11-19;6;26;10;35;4
2022-11-20;5;20;8;27;4
2022-11-21;6;20;9;29;3
2022-11-23;5;15;7;23;3
2022-11-24;20;39;13;69;6
2022-11-26;11;41;20;57;10
2022-11-27;7;37;18;47;11
2022-12-04;4;32;20;38;13
2022-12-09;20;48;16;78;8
2022-12-11;4;24;10;30;7
2022-12-12;28;41;25;84;14
2022-12-19;20;44;23;74;15
2023-01-08;4;16;9;23;4
2023-01-13;37;56;31;112;14
2023-01-14;10;35;17;50;10
2023-01-17;3;15;20;19;4
2023-01-21;11;24;13;40;6
2023-01-25;14;42;26;64;11
2023-01-27;14;50;20;70;9
2023-01-28;5;33;16;41;8
2023-01-30;15;41;22;63;12
2023-02-15;3;39;20;44;12
2023-02-22;18;53;55;80;36
2023-02-23;19;46;66;75;38
2023-02-25;37;52;18;108;10
2023-02-28;31;44;18;91;7
2023-03-01;13;36;;56;
2023-03-02;20;48;;78;
2023-03-03;13;49;;68;
2023-03-04;6;32;;40;
2023-03-05;5;28;29;35;18
2023-03-09;6;24;15;33;6
2023-03-11;4;18;22;23;10
2023-03-13;14;37;;59;
2023-03-18;6;34;37;42;22
2023-03-19;9;33;48;46;33
2023-03-22;9;36;;49;
2023-03-25;3;30;28;35;17
2023-03-26;7;28;19;38;7
2023-03-27;5;25;17;32;6
2023-03-28;7;34;26;44;11
2023-04-01;2;18;31;22;12
2023-04-02;2;11;12;13;3
2023-04-06;7;31;21;41;9
2023-04-07;3;19;19;23;8
2023-04-08;2;18;23;20;11
2023-04-09;2;18;18;21;10
2023-04-10;2;17;25;20;16
2023-04-12;3;26;28;30;9
2023-04-16;2;14;15;16;5
2023-04-23;3;24;24;28;14
2023-04-24;4;24;20;30;11
2023-04-26;2;18;23;21;14
2023-04-30;2;18;18;21;9
2023-05-02;5;26;20;33;8
2023-05-04;6;26;23;35;10
2023-05-06;3;19;25;22;12
2023-05-07;2;16;20;18;9
2023-05-10;;;22;;9
2023-05-11;3;20;19;24;7
2023-05-15;5;26;;34;
2023-05-17;5;22;23;30;9
2023-05-18;6;21;21;30;9
2023-05-19;4;22;20;29;9
2023-05-22;3;14;18;19;10
2023-05-24;9;32;24;45;14
2023-05-25;11;30;27;47;15
2023-05-27;4;19;34;24;19
2023-06-04;4;16;15;22;9
2023-06-07;6;25;17;35;8
2023-06-10;5;22;19;29;9
2023-06-13;6;28;20;38;9
2023-06-15;8;35;24;47;12
2023-06-16;4;25;24;31;13
2023-06-22;7;28;13;38;6
2023-06-25;5;24;26;32;13
2023-06-27;4;20;20;27;11
2023-07-02;5;19;;26;
2023-07-09;4;14;28;19;15
2023-07-13;4;16;34;23;16
2023-07-16;3;10;31;14;14
2023-07-18;6;22;38;31;18
2023-07-21;5;20;38;28;18
2023-07-24;8;30;45;42;19
2023-07-27;5;20;24;27;10
2023-07-30;3;11;29;16;12
2023-08-01;4;19;31;26;14
2023-08-02;6;29;36;37;16
2023-08-04;4;16;24;23;6
2023-08-07;4;15;23;21;9
2023-08-09;6;21;22;29;9
2023-08-10;5;22;41;29;13
2023-08-16;3;14;25;19;13
2023-08-22;6;37;45;46;16
2023-08-24;6;36;44;45;18
2023-08-25;6;28;39;37;18
2023-08-27;3;11;15;15;7
2023-08-28;7;23;12;34;4
2023-08-30;5;20;16;28;6
2023-08-31;6;20;17;29;7
2023-09-02;3;12;14;17;7
2023-09-03;3;8;25;13;12
2023-09-04;4;13;43;19;17
2023-09-07;5;21;21;29;11
2023-09-13;7;19;19;29;9
2023-09-15;4;21;14;27;7
2023-09-16;4;15;27;20;11
2023-09-17;3;16;34;21;15
2023-09-18;7;30;16;41;7
2023-09-22;6;23;14;32;5
2023-09-23;4;18;15;24;6
2023-09-30;6;38;26;46;12
2023-10-01;7;27;21;37;10
2023-10-02;6;23;22;32;11
2023-10-09;5;18;26;25;17
2023-10-10;7;28;24;38;12
2023-10-11;7;28;25;38;13
2023-10-13;6;27;28;37;15
2023-10-14;5;29;32;37;16
2023-10-17;8;28;31;40;16
2023-10-20;4;14;12;20;4
2023-10-21;4;21;11;27;4
2023-10-23;6;24;14;33;5
2023-10-25;7;22;10;33;4
2023-10-26;5;14;11;22;4
2023-10-27;6;23;12;32;4
2023-10-28;4;15;9;21;4
2023-10-31;10;39;20;54;8
2023-11-03;5;14;11;22;3
2023-11-06;7;23;12;33;5
2023-11-12;7;16;9;27;4
2023-11-15;14;37;24;59;9
2023-11-17;20;49;30;81;14
2023-11-22;9;31;22;45;6
2023-11-28;9;22;21;35;9
2023-11-30;9;24;20;38;4
2023-12-02;5;22;13;29;5
2023-12-03;6;29;14;38;7
2023-12-04;11;30;11;47;5
2023-12-06;6;30;19;40;12
2023-12-12;24;38;17;75;6
2023-12-15;32;61;27;110;11
2023-12-16;8;34;18;47;9
2023-12-17;6;28;18;37;10
2023-12-20;16;40;25;65;9
2023-12-23;11;46;19;62;10
2023-12-26;44;58;32;126;16
2024-01-08;11;33;14;49;5
2024-01-11;7;26;15;37;8
2024-01-12;16;40;25;64;13
2024-01-16;8;23;25;35;8
2024-01-20;4;21;15;28;7
2024-01-22;20;39;22;69;13
2024-01-23;22;43;22;76;13
2024-01-24;33;52;32;102;18
2024-01-25;44;62;48;129;30
2024-01-30;11;40;35;57;21
2024-02-01;22;43;35;75;22
2024-02-06;33;61;46;112;24
2024-02-07;7;26;31;37;13
2024-02-08;7;23;28;33;12
2024-02-11;4;12;6;19;3
2024-02-13;12;35;18;53;8
2024-02-14;25;60;30;98;16
2024-02-15;20;38;26;68;15
2024-02-17;5;31;13;39;7
2024-02-20;13;39;20;59;9
2024-02-22;12;31;27;49;12
2024-02-24;4;15;7;22;4
2024-02-28;10;36;18;52;6
2024-03-07;7;24;;35;
2024-03-11;7;24;;34;
2024-03-12;9;31;;45;
2024-03-16;9;33;52;47;24
2024-03-17;12;35;49;54;33
2024-03-20;4;21;31;27;20
2024-03-22;12;35;37;53;19
2024-03-23;7;34;42;44;19
2024-03-27;6;14;;23;
2024-03-29;6;17;11;26;4
2024-03-30;6;19;8;28;4
2024-04-01;4;11;4;18;2
2024-04-02;7;27;13;37;5
2024-04-05;6;28;25;38;14
2024-04-09;5;18;12;25;3
2024-04-16;4;21;28;28;12
2024-04-18;8;28;23;39;9
2024-04-19;4;20;18;27;8
2024-04-21;3;15;15;21;7
2024-04-22;4;15;18;21;8
2024-04-24;5;19;16;26;5
2024-04-27;4;21;18;27;9
2024-05-06;10;22;15;36;5
2024-05-10;7;26;19;37;8
2024-05-11;5;19;14;26;7
2024-05-16;5;19;19;27;6
2024-05-20;6;17;15;25;7
2024-05-23;4;17;16;24;7
2024-05-26;3;9;18;14;10
2024-05-28;4;13;18;18;8
2024-05-31;3;14;19;19;8
2024-06-08;3;13;27;17;10
2024-06-10;4;16;17;23;7
2024-06-17;4;12;;18;
2024-06-18;4;13;;19;
2024-06-19;8;18;25;30;9
2024-06-22;4;11;16;16;6
2024-06-24;3;9;13;14;6
2024-06-26;3;7;13;12;6
2024-07-03;6;15;20;25;9
2024-07-05;3;10;17;15;8
2024-07-07;2;6;14;9;7
2024-07-08;3;8;17;13;8
2024-07-13;2;6;22;10;11
2024-07-15;5;12;30;21;16
2024-07-20;5;13;29;20;12
2024-07-24;3;9;21;14;9
2024-07-25;3;8;19;13;8
2024-07-27;3;9;23;14;14
2024-08-02;3;9;37;14;17
2024-08-04;3;6;26;10;14
2024-08-07;3;8;22;13;10
2024-08-11;3;6;18;10;8
2024-08-19;3;9;25;14;16
2024-08-23;3;9;31;13;23
2024-08-24;3;8;29;12;22
2024-08-28;3;7;19;11;8
2024-08-29;2;7;19;11;8
2024-09-01;2;6;26;9;14
2024-09-03;3;9;36;14;16
2024-09-05;4;11;19;17;7
2024-09-08;4;9;33;15;12
2024-09-11;3;8;28;12;12
2024-09-13;3;9;21;13;7
2024-09-17;4;12;29;18;10
2024-09-18;2;10;20;13;9
2024-09-19;3;12;17;17;8
2024-09-20;5;14;25;21;12
2024-09-21;2;9;19;12;10
2024-09-23;6;12;32;21;19
2024-09-25;7;13;30;23;11
2024-10-01;4;14;29;21;11
2024-10-02;10;17;46;33;13
2024-10-05;3;11;25;16;11
2024-10-06;6;11;66;20;26
2024-10-08;7;15;25;26;7
2024-10-09;2;5;21;8;7
2024-10-12;2;13;32;16;18
2024-10-18;6;15;22;23;8
2024-11-02;4;12;28;18;12
2024-11-06;4;15;55;20;28
2024-11-10;7;17;44;29;15
2024-11-12;6;17;45;26;12
2024-11-13;4;14;17;21;7
2024-11-16;6;22;44;32;18
2024-11-23;2;19;29;22;13
2024-12-02;80;40;120;163;47
2024-12-03;23;28;58;64;24
2024-12-04;11;31;47;48;18
2024-12-05;27;46;58;87;17
2024-12-08;3;10;20;14;5
2024-12-11;5;22;18;30;7
2024-12-18;59;47;83;138;28
2024-12-19;5;21;86;28;23
2024-12-20;11;34;39;51;12
2024-12-21;10;32;38;47;13
2024-12-23;2;13;32;17;7
2024-12-24;23;38;42;74;15
2024-12-28;8;25;33;37;19
2025-01-03;11;32;30;49;11
2025-01-04;6;27;25;36;11
2025-01-05;4;19;33;26;15
2025-01-09;7;20;24;30;8
2025-01-11;3;11;18;15;6
2025-01-12;2;9;21;11;7
2025-01-17;4;19;19;25;9
2025-01-23;8;28;32;39;10
2025-01-24;12;29;30;47;11
2025-01-29;6;21;23;29;8
2025-01-30;6;18;23;27;7
2025-01-31;5;21;20;29;7
2025-02-01;4;20;21;25;11
2025-02-08;4;23;26;29;15
2025-02-10;14;27;30;49;14
2025-02-11;12;28;28;47;13
2025-02-20;8;23;43;35;26
2025-02-28;8;23;33;36;16
